time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/entropy_loss,train/policy_loss,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss,eval/mean_reward,eval/mean_ep_length
129,9,1278,1,,,,,,,,
185,13,2556,2,-3.2958109378814697,4.876126331510022e-05,1,-2.078275203704834,0.00029787,0.09155305474996567,,
218,17,3834,3,-3.2739644050598145,0.004133931826800108,2,0.10914719104766846,0.00029574,0.4335000514984131,,
239,21,5112,4,-3.268800735473633,0.015287303365767002,3,-0.273887038230896,0.00029361,0.0900636687874794,,
251,25,6390,5,-3.28438138961792,-0.002064882544800639,4,0.5247436165809631,0.00029148,0.10304300487041473,,
260,29,7668,6,-3.276698350906372,-0.0008643870824016631,5,0.2438628077507019,0.00028934999999999996,0.09354134649038315,,
267,33,8946,7,-3.268077850341797,-0.004721013363450766,6,-0.3996613025665283,0.00028722,0.07828634232282639,,
272,37,10224,8,-3.263622522354126,-0.01645895466208458,7,-0.7045695781707764,0.00028509,0.03525599464774132,,
277,41,11502,9,-3.218050718307495,-4.862395599047886e-06,8,-1.9770326614379883,0.00028296,0.01854781247675419,,
280,45,12780,10,-3.2007856369018555,-0.004154333844780922,9,-0.7819502353668213,0.00028083,0.023748215287923813,,
283,49,14058,11,-3.1918375492095947,0.0033226520754396915,10,-0.6010621786117554,0.0002787,0.02511812373995781,,
285,53,15336,12,-3.1890382766723633,0.024345438927412033,11,0.3742597699165344,0.00027657,0.02364075370132923,,
287,57,16614,13,-3.1905088424682617,-0.017947440966963768,12,-1.2511365413665771,0.00027444,0.01171048916876316,,
289,61,17892,14,-3.1684093475341797,0.022704141214489937,13,-0.028150320053100586,0.00027231,0.00994629506021738,,
288,66,19170,15,-3.205528974533081,0.011276167817413807,14,-1.196687936782837,0.00027017999999999996,0.010340696200728416,,
288,70,20448,16,-3.223771095275879,0.011480489745736122,15,-0.2510422468185425,0.00026805,0.019372347742319107,,
289,74,21726,17,-3.240264892578125,-0.015905315056443214,16,-0.6959934234619141,0.00026592,0.010944603942334652,,
290,79,23004,18,-3.2165744304656982,-0.00272855325601995,17,-0.7377886772155762,0.00026379,0.006743093952536583,,
291,83,24282,19,-3.2181546688079834,0.0005890558240935206,18,-1.8941102027893066,0.00026166,0.004641007166355848,,
293,87,25560,20,-3.2069971561431885,0.013842426240444183,19,-1.857189655303955,0.00025953,0.0063986522145569324,,
294,91,26838,21,-3.2319908142089844,-0.012093569152057171,20,-4.116580486297607,0.0002574,0.005090658087283373,,
295,95,28116,22,-3.203049421310425,-0.011989387683570385,21,-3.3390421867370605,0.00025527,0.003954340238124132,,
297,98,29394,23,-3.185129404067993,0.0010101903462782502,22,-2.321265697479248,0.00025314,0.00414663041010499,,
297,102,30672,24,-3.19398832321167,-0.0045298561453819275,23,-5.7275614738464355,0.00025100999999999997,0.003658152185380459,,
298,107,31950,25,-3.1809005737304688,0.009479179047048092,24,-4.754058837890625,0.00024888,0.0033938607666641474,,
299,110,33228,26,-3.201167583465576,-0.005984097253531218,25,-5.188991546630859,0.00024675,0.003288809210062027,,
300,114,34506,27,-3.2185022830963135,0.0020719149615615606,26,-3.4672670364379883,0.00024462,0.0033021282870322466,,
301,118,35784,28,-3.199873685836792,-0.004413413815200329,27,-2.257296562194824,0.00024249,0.003813974093645811,,
302,122,37062,29,-3.2010416984558105,0.012915839441120625,28,-7.550477981567383,0.00024036,0.0037391353398561478,,
302,126,38340,30,-3.222721576690674,0.005150527693331242,29,-5.197588920593262,0.00023822999999999997,0.0036851863842457533,,
303,130,39618,31,-3.226994514465332,-0.01106209959834814,30,-4.636699199676514,0.0002361,0.0043976265005767345,,
304,134,40896,32,-3.2186100482940674,-0.026039233431220055,31,-5.109704971313477,0.00023397,0.0031397424172610044,,
305,138,42174,33,-3.195946216583252,-0.018619555979967117,32,-3.916574001312256,0.00023183999999999998,0.003280265722423792,,
306,141,43452,34,-3.1761574745178223,0.0012759296223521233,33,-6.470022201538086,0.00022971,0.0029760522302240133,,
306,145,44730,35,-3.1804277896881104,-0.01573781669139862,34,-4.619884490966797,0.00022758,0.0030056352261453867,,
307,149,46008,36,-3.157404899597168,0.006799682974815369,35,-9.039198875427246,0.00022544999999999998,0.003032892942428589,,
308,153,47286,37,-3.1695635318756104,0.010524631477892399,36,-7.068297386169434,0.00022332,0.0032794191502034664,,
308,157,48564,38,-3.185337543487549,-0.004330881405621767,37,-4.530651569366455,0.00022119,0.0032135872170329094,,
309,161,49842,39,-3.1873409748077393,-0.0066895997151732445,38,-8.211301803588867,0.00021905999999999998,0.003170676063746214,,
309,164,51120,40,-3.169593572616577,0.013716984540224075,39,-3.2722182273864746,0.00021693,0.0029409269336611032,,
310,168,52398,41,-3.186788558959961,0.0033202371560037136,40,-5.460796356201172,0.00021480000000000002,0.0028870750684291124,,
