time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_loss,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
79,100962,317,317,-3.2457594871520996,-0.28344249725341797,0.00013386,-0.004792722407728434,78,0.009064101614058018,,
80,102240,321,318,-3.2446720600128174,-4.0121636390686035,0.00013173,0.007287038955837488,79,0.0021380011457949877,,
81,103518,325,318,-3.246356964111328,-3.5871901512145996,0.0001296,-0.0037352333310991526,80,0.001958149019628763,,
82,104796,328,318,-3.2453112602233887,-6.983885288238525,0.00012747,-0.0130365751683712,81,0.0022930623963475227,,
83,106074,332,318,-3.2418406009674072,-0.28660881519317627,0.00012534000000000002,0.011359193362295628,82,0.0055624921806156635,,
84,107352,336,319,-3.2391393184661865,-4.324911594390869,0.00012321,-0.002290203236043453,83,0.002201793482527137,,
85,108630,340,319,-3.2526297569274902,-5.107213973999023,0.00012108000000000001,-0.02744586393237114,84,0.0019118213094770908,,
86,109908,343,319,-3.2428808212280273,-4.263489246368408,0.00011895,-0.0007501820218749344,85,0.0018251016736030579,,
87,111186,347,319,-3.2383923530578613,-11.836747169494629,0.00011682,-0.014717813581228256,86,0.0016254964284598827,,
88,112464,351,320,-3.235771894454956,-0.21464002132415771,0.00011469,-0.016969062387943268,87,0.009144251234829426,,
89,113742,355,320,-3.237536907196045,-2.868095636367798,0.00011255999999999999,-0.0215993020683527,88,0.002235255902633071,,
90,115020,358,320,-3.229480028152466,-4.144552707672119,0.00011043000000000001,-0.005955015309154987,89,0.0018969208467751741,,
91,116298,362,320,-3.23344349861145,-4.583178520202637,0.0001083,0.006521574221551418,90,0.0021363296546041965,,
92,117576,366,321,-3.2410924434661865,-5.042632102966309,0.00010617000000000001,-0.010261488147079945,91,0.0016326236072927713,,
93,118854,369,321,-3.236143112182617,-7.678764343261719,0.00010404,0.004695856478065252,92,0.001832494861446321,,
94,120132,373,321,-3.24389910697937,-9.086543083190918,0.00010190999999999999,0.01027507521212101,93,0.0013812321703881025,,
1,121410,3,344,-3.233950138092041,-0.5395982265472412,9.977999999999998e-05,-0.008867279626429081,94,0.004732601344585419,,
2,122688,7,342,-3.247666358947754,-4.167984485626221,0.00019888061566138623,0.002493128413334489,95,0.0018481946317479014,,
3,123966,11,342,-3.2412896156311035,-3.32861328125,0.00019781620108940085,0.02307901345193386,96,0.0016661015106365085,,
4,125244,14,342,-3.2499494552612305,-3.570472240447998,0.00019675178651741543,-0.020901119336485863,97,0.001781268510967493,,
5,126522,18,342,-3.24277400970459,-4.046319484710693,0.00019568737194543002,0.010025260969996452,98,0.001995940925553441,,
6,127800,22,342,-3.253783941268921,-2.458181142807007,0.0001946229573734446,0.0009466538322158158,99,0.001633348991163075,,
7,129078,26,342,-3.2499208450317383,-1.9169116020202637,0.0001935585428014592,0.010157016105949879,100,0.0018417427781969309,,
8,130356,29,342,-3.2535130977630615,-4.253971576690674,0.00019249412822947378,-0.007501135114580393,101,0.00183071696665138,,
9,131634,33,342,-3.2481117248535156,-1.918534755706787,0.00019142971365748837,0.0032024472020566463,102,0.0013865350047126412,,
10,132912,37,342,-3.2506024837493896,-10.073800086975098,0.00019036529908550296,0.0011774967424571514,103,0.0018811157206073403,,
11,134190,41,342,-3.2463715076446533,-8.308869361877441,0.00018930088451351754,-0.023528240621089935,104,0.0019624531269073486,,
12,135468,44,342,-3.246443748474121,-7.401211738586426,0.00018823646994153216,0.01998067833483219,105,0.0015890799695625901,,
13,136746,48,342,-3.2514681816101074,-2.7279021739959717,0.00018717205536954675,0.0077310241758823395,106,0.002043456071987748,,
14,138024,52,342,-3.2579329013824463,-2.142636775970459,0.00018610764079756136,-0.004261430352926254,107,0.0020507280714809895,,
15,139302,55,342,-3.2551352977752686,-8.254812240600586,0.00018504322622557595,0.006502961739897728,108,0.001635788008570671,,
16,140580,59,342,-3.2515931129455566,-4.257143974304199,0.00018397881165359054,0.0002915527147706598,109,0.001796332304365933,,
17,141858,63,342,-3.250601291656494,-6.235583305358887,0.00018291439708160512,-0.012307219207286835,110,0.0018068286590278149,,
18,143136,67,342,-3.2457950115203857,-10.093990325927734,0.0001818499825096197,0.012606685049831867,111,0.0018833974609151483,,
19,144414,70,342,-3.254204273223877,-4.713870525360107,0.0001807855679376343,-0.0010157303186133504,112,0.0019399727461859584,,
20,145692,74,341,-3.252690553665161,-7.858338356018066,0.00017972115336564888,0.010267789475619793,113,0.0018773013725876808,,
21,146970,78,340,-3.256779432296753,-10.111801147460938,0.00017865673879366347,-0.010195333510637283,114,0.0017734551802277565,,
22,148248,82,339,-3.251966953277588,-3.164638042449951,0.00017759232422167806,-6.0748607211280614e-05,115,0.0016106667462736368,,
23,149526,86,339,-3.2564074993133545,-7.209710121154785,0.00017652790964969267,0.0054831793531775475,116,0.001660638372413814,,
24,150804,90,338,-3.2514705657958984,-9.382132530212402,0.00017546349507770726,0.009647715836763382,117,0.00172910513356328,,
25,152082,94,338,-3.2492446899414062,-4.495683193206787,0.00017439908050572188,0.0031805799808353186,118,0.002031743759289384,,
26,153360,98,337,-3.249728202819824,-2.764556884765625,0.00017333466593373646,-0.008820264600217342,119,0.0019023672211915255,,
27,154638,102,337,-3.2533984184265137,-5.150343418121338,0.00017227025136175105,-0.009557243436574936,120,0.0017682187026366591,,
28,155916,106,336,-3.2592146396636963,-5.91676664352417,0.00017120583678976564,0.004219470079988241,121,0.0016861987533047795,,
29,157194,110,336,-3.2615880966186523,-7.290886878967285,0.00017014142221778022,-0.012787232175469398,122,0.001319542876444757,,
30,158472,114,335,-3.256561517715454,-5.14680814743042,0.0001690770076457948,0.015243458561599255,123,0.00156718073412776,,
